数据获取时间,标签,值
2025-10-16 16:50:24,YJ.yj_qkc_dinghuangyao1:ocssetup,0
2025-10-16 16:50:24,YJ.yj_qkc_dinghuangyao2:ocssetup,0
2025-10-16 16:50:24,YJ.yj_qkc_dinghuangyao1:plcsetup,0
2025-10-16 16:50:24,YJ.yj_qkc_dinghuangyao2:plcsetup,0
2025-10-16 16:50:24,YJ.yj_qkc_dinghuangyao1:actualflow,0
2025-10-16 16:50:24,YJ.yj_qkc_dinghuangyao2:actualflow,0
2025-10-16 16:50:24,YJ.yj_qkc_shihui:ocssetup,0
2025-10-16 16:50:24,YJ.yj_qkc_shihui:plcsetup,0
2025-10-16 16:50:24,YJ.yj_qkc_shihui:actualflow,0
2025-10-16 16:50:24,YJ.yj_qkc_yiliudan1:ocssetup,0
2025-10-16 16:50:24,YJ.yj_qkc_yiliudan2:ocssetup,0
2025-10-16 16:50:24,YJ.yj_qkj1_dinghuangyao:ocssetup,0
2025-10-16 16:50:24,YJ.yj_qkj1_dinghuangyao:plcsetup,0
2025-10-16 16:50:24,YJ.yj_qkj1_dinghuangyao:actualflow,0
2025-10-16 16:50:24,YJ.yj_qkj1_shihui:ocssetup,60
2025-10-16 16:50:24,YJ.yj_qkj1_shihui:plcsetup,60
2025-10-16 16:50:24,YJ.yj_qkj1_shihui:actualflow,60
2025-10-16 16:50:24,YJ.yj_qkj1_yiliudan:ocssetup,200
2025-10-16 16:50:24,YJ.yj_qkj1_yiliudan:plcsetup,200
2025-10-16 16:50:24,YJ.yj_qkj1_yiliudan:actualflow,200
2025-10-16 16:50:24,YJ.yj_qkj2_yiliudan:ocssetup,0
2025-10-16 16:50:24,YJ.yj_qkj2_shihui:ocssetup,60
2025-10-16 16:50:24,YJ.yj_qkj2_yiliudan:plcsetup,0
2025-10-16 16:50:24,YJ.yj_qkj2_shihui:plcsetup,60
2025-10-16 16:50:24,YJ.yj_qkj2_yiliudan:actualflow,0
2025-10-16 16:50:24,YJ.yj_qkj2_shihui:actualflow,60
2025-10-16 16:50:24,YJ.yj_qkj2_dinghuangyao:actualflow,0
2025-10-16 16:50:24,YJ.yj_qkj3_ds1:ocssetup,300
2025-10-16 16:50:24,YJ.yj_qkj3_ds2:ocssetup,300
