名称,数值类型,描述,工程单位,存档,数值位数,停机补写,量程下限,量程上限,阶跃,典型值,压缩,压缩偏差,压缩百分比,最长压缩间隔,最短压缩间隔,例外偏差,例外百分比,最长例外间隔,最短例外间隔,类别,修改时间,修改者,创建时间,创建者,镜像,时间戳精度,加速统计,数据源,采集,设备标签,LOCATION1,LOCATION2,LOCATION3,LOCATION4,LOCATION5,USERINT1,USERINT2,USERREAL1,USERREAL2,方程式,触发方式,时间戳参考,计算周期
"[yj_xs4_liushuantong:ocssetup]",UINT16,锌扫四工序硫酸铜：OCS设定量,,1,-5,0,0,1000,0,50,1,1,0.001,1800,0,0.5,0.0005,600,0,"base,scan",[2022-11-18 10:40:52],sa,[2021-06-17 10:52:12],sa,0,0,0,SER_OSR::JY1.OCS_Set,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[yj_xs1_liushuantong:ocssetup]",UINT16,锌扫一工序硫酸铜：OCS设定量,,1,-5,0,0,1000,0,50,1,1,0.001,1800,0,0.5,0.0005,600,0,"base,scan",[2022-11-18 10:40:52],sa,[2021-06-17 10:52:12],sa,0,0,0,SER_OSR::JY3.OCS_Set,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[yj_xc2_liushuantong:ocssetup]",UINT16,锌粗二工序硫酸铜：OCS设定量,,1,-5,0,0,1000,0,50,1,1,0.001,1800,0,0.5,0.0005,600,0,"base,scan",[2022-11-18 10:40:52],sa,[2021-06-17 10:52:12],sa,0,0,0,SER_OSR::JY4.OCS_Set,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[yj_xc1_liushuantong1:ocssetup]",UINT16,锌粗一工序硫酸铜：OCS设定量1,,1,-5,0,0,1000,0,50,1,1,0.001,1800,0,0.5,0.0005,600,0,"base,scan",[2022-11-18 10:40:52],sa,[2021-06-17 10:52:12],sa,0,0,0,SER_OSR::JY5.OCS_Set,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[yj_xc1_liushuantong2:ocssetup]",UINT16,锌粗一工序硫酸铜：OCS设定量2,,1,-5,0,0,1000,0,50,1,1,0.001,1800,0,0.5,0.0005,600,0,"base,scan",[2022-11-18 10:40:52],sa,[2021-06-17 10:52:12],sa,0,0,0,SER_OSR::JY6.OCS_Set,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[yj_xj3_liushuantong:ocssetup]",UINT16,锌精三工序硫酸铜：OCS设定量,,1,-5,0,0,1000,0,50,1,1,0.001,1800,0,0.5,0.0005,600,0,"base,scan",[2022-11-18 10:40:52],sa,[2021-06-17 10:52:12],sa,0,0,0,SER_OSR::JY7.OCS_Set,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[yj_xj2_liushuantong:ocssetup]",UINT16,锌精二工序硫酸铜：OCS设定量,,1,-5,0,0,1000,0,50,1,1,0.001,1800,0,0.5,0.0005,600,0,"base,scan",[2022-11-18 10:40:52],sa,[2021-06-17 10:52:12],sa,0,0,0,SER_OSR::JY8.OCS_Set,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[yj_xj1_liushuantong:ocssetup]",UINT16,锌精一工序硫酸铜：OCS设定量,,1,-5,0,0,1000,0,50,1,1,0.001,1800,0,0.5,0.0005,600,0,"base,scan",[2022-11-18 10:40:52],sa,[2021-06-17 10:52:12],sa,0,0,0,SER_OSR::JY9.OCS_Set,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[yj_xkc_liushuantong1:ocssetup]",UINT16,锌快粗工序硫酸铜：OCS设定量1,,1,-5,0,0,100,0,50,1,1,0.01,1800,0,0.5,0.005,600,0,"base,scan",[2022-11-18 10:40:52],sa,[2021-06-17 10:52:12],sa,0,0,0,SER_OSR::JY10.OCS_Set,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[yj_xkc_liushuantong2:ocssetup]",UINT16,锌快粗工序硫酸铜：OCS设定量2,,1,-5,0,0,100,0,50,1,1,0.01,1800,0,0.5,0.005,600,0,"base,scan",[2022-11-18 10:40:52],sa,[2021-06-17 10:52:12],sa,0,0,0,SER_OSR::JY11.OCS_Set,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[yj_xkc_liushuantong3:ocssetup]",UINT16,锌快粗工序硫酸铜：OCS设定量3,,1,-5,0,0,100,0,50,1,1,0.01,1800,0,0.5,0.005,600,0,"base,scan",[2022-11-18 10:40:52],sa,[2021-06-17 10:52:12],sa,0,0,0,SER_OSR::JY12.OCS_Set,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[yj_xkc_dinghuangyao1:ocssetup]",UINT16,锌快粗工序丁黄药：OCS设定量1,,1,-5,0,0,100,0,50,1,1,0.01,1800,0,0.5,0.005,600,0,"base,scan",[2022-11-18 10:40:52],sa,[2021-06-17 10:52:12],sa,0,0,0,SER_OSR::JY13.OCS_Set,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[yj_xkc_dinghuangyao2:ocssetup]",UINT16,锌快粗工序丁黄药：OCS设定量2,,1,-5,0,0,100,0,50,1,1,0.01,1800,0,0.5,0.005,600,0,"base,scan",[2022-11-18 10:40:52],sa,[2021-06-17 10:52:12],sa,0,0,0,SER_OSR::JY14.OCS_Set,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[yj_xj1_dinghuangyao:ocssetup]",UINT16,锌精一工序丁黄药：OCS设定量,,1,-5,0,0,100,0,50,1,1,0.01,1800,0,0.5,0.005,600,0,"base,scan",[2022-11-18 10:40:52],sa,[2021-06-17 10:52:12],sa,0,0,0,SER_OSR::JY15.OCS_Set,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[yj_qs_dinghuangyao:ocssetup]",UINT16,铅扫选工序丁黄药：OCS设定量,,1,-5,0,0,100,0,50,1,1,0.01,1800,0,0.5,0.005,600,0,"base,scan",[2022-11-18 10:40:52],sa,[2021-06-17 10:52:12],sa,0,0,0,SER_OSR::JY16.OCS_Set,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[yj_qj3_dinghuangyao:ocssetup]",UINT16,铅精三工序丁黄药：OCS设定量,,1,-5,0,0,100,0,50,1,1,0.01,1800,0,0.5,0.005,600,0,"base,scan",[2022-11-18 10:40:52],sa,[2021-06-17 10:52:12],sa,0,0,0,SER_OSR::JY17.OCS_Set,1,,1,0,0,0,0,0,0,0,0,,0,0,0
