

=== 数据获取时间: 2025-10-16 15:41:21 ===


=== 数据获取时间: 2025-10-16 16:03:56 ===
标签: YJ.yj_qkc_5you:cumulativevalue, 值: 7892690, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_dinghuangyao1:ocssetup, 值: 1500, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_dinghuangyao2:ocssetup, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_dinghuangyao1:plcsetup, 值: 1500, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_dinghuangyao2:plcsetup, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_dinghuangyao1:localocs, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_dinghuangyao2:localocs, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_dinghuangyao1:localocsreturn, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_dinghuangyao2:localocsreturn, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_dinghuangyao1:valveswitch, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_dinghuangyao2:valveswitch, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_dinghuangyao1:valvecapacity, 值: 300, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_dinghuangyao2:valvecapacity, 值: 340, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_dinghuangyao1:cumulativevalue, 值: 56814080, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_dinghuangyao2:cumulativevalue, 值: 58839630, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_dinghuangyao1:maxsetup, 值: 2200, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_dinghuangyao2:maxsetup, 值: 2200, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_dinghuangyao1:minsetup, 值: 1000, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_dinghuangyao2:minsetup, 值: 1000, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_dinghuangyao1:actualflow, 值: 1500, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_dinghuangyao2:actualflow, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_dinghuangyao1:onetime, 值: 25, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_dinghuangyao2:onetime, 值: 30, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_dinghuangyao1:cycle, 值: 120, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_dinghuangyao2:cycle, 值: 136, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_shihui:ocssetup, 值: 0, 时间: 2025-10-16 16:03:59
