名称,数值类型,描述,工程单位,存档,数值位数,停机补写,量程下限,量程上限,阶跃,典型值,压缩,压缩偏差,压缩百分比,最长压缩间隔,最短压缩间隔,例外偏差,例外百分比,最长例外间隔,最短例外间隔,类别,修改时间,修改者,创建时间,创建者,镜像,时间戳精度,加速统计,数据源,采集,设备标签,LOCATION1,LOCATION2,LOCATION3,LOCATION4,LOCATION5,USERINT1,USERINT2,USERREAL1,USERREAL2,方程式,触发方式,时间戳参考,计算周期
"[kyfx_pb_cp200m:granularity]",FLOAT32,Pb_CP200M：粒度,%,1,-5,0,0,1000,0,50,1,1,0.001,1800,0,0.5,0.0005,600,0,"base,scan",[2022-11-18 10:40:51],sa,[2021-05-25 15:30:16],sa,0,0,0,SER_OSR::L1.PS,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[kyfx_feed_cp200m:granularity]",FLOAT32,Feed_CP200M：粒度,%,1,-5,0,0,1000,0,50,1,1,0.001,1800,0,0.5,0.0005,600,0,"base,scan",[2022-11-18 10:40:51],sa,[2021-05-25 15:30:16],sa,0,0,0,SER_OSR::L2.PS,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[kyfx_zn_cp200m:granularity]",FLOAT32,Zn_CP200M：粒度,%,1,-5,0,0,1000,0,50,1,1,0.001,1800,0,0.5,0.0005,600,0,"base,scan",[2022-11-18 10:40:51],sa,[2021-05-25 15:30:16],sa,0,0,0,SER_OSR::L3.PS,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[kyfx_pb_cp200plus360m:granularity]",FLOAT32,Pb_CP200Plus360M：粒度,%,1,-5,0,0,1000,0,50,1,1,0.001,1800,0,0.5,0.0005,600,0,"base,scan",[2022-11-18 10:40:51],sa,[2021-05-25 15:30:16],sa,0,0,0,SER_OSR::L1.PS2,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[kyfx_feed_cp200plus360m:granularity]",FLOAT32,Feed_CP200Plus360M：粒度,%,1,-5,0,0,1000,0,50,1,1,0.001,1800,0,0.5,0.0005,600,0,"base,scan",[2022-11-18 10:40:51],sa,[2021-05-25 15:30:16],sa,0,0,0,SER_OSR::L2.PS2,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[kyfx_zn_cp200plus360m:granularity]",FLOAT32,Zn_CP200Plus360M：粒度,%,1,-5,0,0,1000,0,50,1,1,0.001,1800,0,0.5,0.0005,600,0,"base,scan",[2022-11-18 10:40:51],sa,[2021-05-25 15:30:16],sa,0,0,0,SER_OSR::L3.PS2,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[kyfx_pb_cp360m:granularity]",FLOAT32,Pb_CP360M：粒度,%,1,-5,0,0,1000,0,50,1,1,0.001,1800,0,0.5,0.0005,600,0,"base,scan",[2022-11-18 10:40:51],sa,[2021-05-25 15:30:16],sa,0,0,0,SER_OSR::L1.PS3,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[kyfx_feed_cp360m:granularity]",FLOAT32,Feed_360M：粒度,%,1,-5,0,0,1000,0,50,1,1,0.001,1800,0,0.5,0.0005,600,0,"base,scan",[2022-11-18 10:40:51],sa,[2021-05-25 15:30:16],sa,0,0,0,SER_OSR::L2.PS3,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[kyfx_zn_cp360m:granularity]",FLOAT32,Zn_CP360M：粒度,%,1,-5,0,0,100,0,50,1,1,0.01,1800,0,0.5,0.005,600,0,"base,scan",[2022-11-18 10:40:51],sa,[2021-05-25 15:30:16],sa,0,0,0,SER_OSR::L3.PS3,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[kyfx_pb_cpdensity:density]",FLOAT32,Pb_CPDensity：密度,%,1,-5,0,0,100,0,50,1,1,0.01,1800,0,0.5,0.005,600,0,"base,scan",[2022-11-18 10:40:51],sa,[2021-05-25 15:30:16],sa,0,0,0,SER_OSR::L1.DY,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[kyfx_feed_cpdensity:density]",FLOAT32,Feed_Density：密度,%,1,-5,0,0,100,0,50,1,1,0.01,1800,0,0.5,0.005,600,0,"base,scan",[2022-11-18 10:40:51],sa,[2021-05-25 15:30:16],sa,0,0,0,SER_OSR::L2.DY,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[kyfx_zn_cpdensity:density]",FLOAT32,Zn_CPDensity：密度,%,1,-5,0,0,100,0,50,1,1,0.01,1800,0,0.5,0.005,600,0,"base,scan",[2022-11-18 10:40:51],sa,[2021-05-25 15:30:17],sa,0,0,0,SER_OSR::L3.DY,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[kyfx_xsw3_grade_Ag]",FLOAT32,锌扫三尾Ag：品位,%,1,-5,0,0,1000,0,50,1,1,0.001,1800,0,0.5,0.0005,600,0,"base,scan",[2022-11-18 10:40:51],sa,[2021-05-25 15:30:17],sa,0,0,0,SER_OSR::S2.Ag,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[kyfx_xsw4_grade_Ag]",FLOAT32,锌扫四尾Ag：品位,%,1,-5,0,0,1000,0,50,1,1,0.001,1800,0,0.5,0.0005,600,0,"base,scan",[2022-11-18 10:40:51],sa,[2021-05-25 15:30:17],sa,0,0,0,SER_OSR::S3.Ag,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[kyfx_xjk_grade_Ag]",FLOAT32,锌精矿Ag：品位,%,1,-5,0,0,1000,0,50,1,1,0.001,1800,0,0.5,0.0005,600,0,"base,scan",[2022-11-18 10:40:51],sa,[2021-05-25 15:30:17],sa,0,0,0,SER_OSR::S4.Ag,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[kyfx_xkcw_grade_Ag]",FLOAT32,锌快粗尾Ag：品位,%,1,-5,0,0,1000,0,50,1,1,0.001,1800,0,0.5,0.0005,600,0,"base,scan",[2022-11-18 10:40:51],sa,[2021-05-25 15:30:17],sa,0,0,0,SER_OSR::S5.Ag,1,,1,0,0,0,0,0,0,0,0,,0,0,0
"[kyfx_yk_grade_Ag]",FLOAT32,原矿Ag：品位,%,1,-5,0,0,1000,0,50,1,1,0.001,1800,0,0.5,0.0005,600,0,"base,scan",[2022-11-18 10:40:51],sa,[2021-05-25 15:30:17],sa,0,0,0,SER_OSR::S6.Ag,1,,1,0,0,0,0,0,0,0,0,,0,0,0
